book_id,seg_id,title,seg_url
dad0ad47ed8a4ed18b1d8a2fa94cca43,7f285c1c2a9a403f9d632d6ecb612ef5, 第1章 父子,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/nULzklzMzHX6ItTi_ILQ7A2
dad0ad47ed8a4ed18b1d8a2fa94cca43,6155041ffb344ffa925f0f59a623d744,第二章 四大学府体系,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/1uFYjICD80WaGfXRMrUjdw2
dad0ad47ed8a4ed18b1d8a2fa94cca43,590e6681b0e847d99334a97dc12dd838,第3章 万族图册,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/I5dJx3SRQMLM5j8_3RRvhw2
dad0ad47ed8a4ed18b1d8a2fa94cca43,086ada35ced54df29f68ac81ae61aaea,第4章 开元加速法,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/TxjVKOPd9_O2uJcMpdsVgA2
dad0ad47ed8a4ed18b1d8a2fa94cca43,cbb5181a62184b2db2b90f1873a66df1,第5章 梦境（元宵节快乐）,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/AYrzB5auTwqaGfXRMrUjdw2
dad0ad47ed8a4ed18b1d8a2fa94cca43,07c990b21af945ba93d0efcc8f8dd2ac,第6章 铁翼鸟再现（求推荐，求收藏）,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/feGRLQa_ge22uJcMpdsVgA2
dad0ad47ed8a4ed18b1d8a2fa94cca43,b4a7e3fe659845c280971d3fd9408a23,第7章 书册开启,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/51Qs2VuLVP3M5j8_3RRvhw2
dad0ad47ed8a4ed18b1d8a2fa94cca43,4d5141572c6248608e6419f7425fc96c,第8章 文明之火,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/oEq4RMeLrfjgn4SMoDUcDQ2
dad0ad47ed8a4ed18b1d8a2fa94cca43,8f5c591144a34c4ea86c51e158fba63b,第9章 文明学府的手段,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/ZQDJLcXahtq2uJcMpdsVgA2
dad0ad47ed8a4ed18b1d8a2fa94cca43,950af63f61bf421b86880bb076b68543,第10章 开元四重（求推荐）,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/5wkxfvaUQqHwrjbX3WA1AA2
dad0ad47ed8a4ed18b1d8a2fa94cca43,30b539b4b92c474aa0d57e69fc7cbba3,第11章 风平浪静,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/3xNGi4SX7LlMs5iq0oQwLQ2
dad0ad47ed8a4ed18b1d8a2fa94cca43,fe65d87d85cc48bd9c685e4e55c27207, 第12章 引蛇出洞,https://read.qidian.com/chapter/TOxiwmgRNSfffahp3g1tpg2/RvvuClG_X9JOBDFlr9quQA2
